Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si
0,0.657591742,,0,24.49706802,,,0,35.32023056,0.195811894
0,0,,0,26.86082019,,,0,35.47548432,0
0.118598619,0,,0,27.29059332,,,0,36.09649937,0
0.118598619,0,,0,25.57150082,,,0,35.24260368,0.097905947
0,0.657591742,,0,26.21616051,,,0,35.08734992,0
0,0,,0,29.22457237,,,0,36.25175313,0
0.118598619,0.657591742,,0,25.35661426,,,0,38.65818642,0
0,0,,0,30.29900518,,,0,37.57141009,0.195811894
0,0.657591742,,0,31.37343799,,,0,36.87276817,0.097905947
0.237197238,0.986387613,,0,32.44787079,,,0,34.62158864,0
0,0.657591742,,0,27.29059332,,,0,37.64903697,0
0,0.657591742,,0,27.72036644,,,0,35.08734992,0
0,0,,0.640161561,29.65434549,,,0,34.93209616,0
0.118598619,0.657591742,,0,31.58832455,,,0,36.32938001,0
0.118598619,0,,0,26.21616051,,,0,36.63988753,0
0,0,,0,28.36502612,,,0,34.0005736,0
0,0,,0,31.58832455,,,0,39.27920146,0.391623787
0.118598619,0,,0,27.935253,,,0,35.47548432,0
0,0,,0,26.64593363,,,0,36.09649937,0.097905947
0,0,,0,32.66275736,,,0,38.58055954,0
0,0,,0,26.43104707,,,0,35.94124561,0.097905947
0.118598619,0,,0,33.73719016,,,0,36.63988753,0
0.118598619,0.657591742,,0.960242341,32.66275736,,,0,36.79514129,0.195811894
0,0,,0,29.22457237,,,0,35.08734992,0.097905947
0,0,,0,29.00968581,,,0,37.26090257,0
0,0,,0,31.15855142,,,0,40.05547026,0
0.118598619,0,,0,26.43104707,,,0,34.388708,0
0,0,,0,27.935253,,,0,33.53481231,0
0,0,,0,28.57991269,,,0,36.32938001,0
0,0,,0,27.29059332,,,0,34.388708,0.097905947
0,0.657591742,,0,27.29059332,,,0,36.87276817,0
0,0,,0,30.7287783,,,0,32.68091663,0
0,0,,0,31.58832455,,,0,36.09649937,0
0,0,,0.640161561,29.43945893,,,0,38.11479826,0.391623787
0,0,,0,26.43104707,,,0,34.62158864,0.097905947
0,0,,0,29.00968581,,,0,37.88191761,0.097905947
0.118598619,0.657591742,,0,27.935253,,,0,34.62158864,0
0.237197238,0,,0,30.29900518,,,0,35.39785744,0
0,0,,0,33.30741704,,,0,34.388708,0
0,0,,0,26.64593363,,,0,34.54396176,0
0,0.986387613,,0,32.44787079,,,0,36.63988753,0
0,0,,0,28.15013956,,,0,38.19242514,0.293717841
0.118598619,0,,0,30.7287783,,,0,34.54396176,0
